City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Tasiilaq,98,GL,1624473168,68,65.6145,-37.6368,8.09,1.92
Port Alfred,92,ZA,1624473169,74,-33.5906,26.891,16.88,6.05
Albany,5,US,1624473009,43,42.6001,-73.9662,22.67,0.45
Khandyga,100,RU,1624473169,81,62.6667,135.6,15.0,2.24
Northam,100,GB,1624473170,86,51.0333,-4.2167,16.68,2.07
Lázaro Cárdenas,100,MX,1624473002,68,17.9583,-102.2,29.82,2.72
Vaini,90,TO,1624473170,83,-21.2,-175.2,20.09,6.69
Atuona,9,PF,1624473171,79,-9.8,-139.0333,25.85,6.69
Punta Arenas,75,CL,1624473171,87,-53.15,-70.9167,5.01,2.57
Guarapari,0,BR,1624473171,73,-20.6667,-40.4975,26.06,6.11
Saint-François,100,FR,1624473172,68,46.4154,3.9054,20.69,2.06
Ukiah,1,US,1624473172,56,39.1502,-123.2078,30.8,2.57
Kumul,88,CN,1624473173,26,42.8,93.45,24.36,1.86
Los Llanos de Aridane,75,ES,1624473173,68,28.6585,-17.9182,22.0,7.2
Meulaboh,48,ID,1624473174,82,4.1363,96.1285,24.46,1.91
Hasaki,100,JP,1624473174,78,35.7333,140.8333,19.22,2.21
Qaanaaq,100,GL,1624473175,48,77.484,-69.3632,8.91,2.84
Nikolskoye,7,RU,1624473175,51,59.7035,30.7861,28.94,4.47
Sayula,100,MX,1624473175,75,19.8667,-103.6167,22.51,0.42
Thompson,75,CA,1624472919,52,55.7435,-97.8558,19.09,4.63
Camacha,40,PT,1624473176,64,33.0833,-16.3333,18.68,7.2
Coquimbo,75,CL,1624473117,82,-29.9533,-71.3436,12.85,2.57
Āsosa,100,ET,1624473177,88,10.0667,34.5333,16.58,0.66
Nālūt,2,LY,1624473177,12,30.3333,10.85,35.81,3.99
Arraial do Cabo,20,BR,1624473177,68,-22.9661,-42.0278,23.98,4.63
Floriano,74,BR,1624473178,23,-6.7669,-43.0225,36.4,3.17
Walvis Bay,0,NA,1624473178,72,-22.9575,14.5053,16.0,2.57
Santa Vitória do Palmar,100,BR,1624473179,81,-33.5189,-53.3681,15.85,7.82
Narsaq,100,GL,1624473179,88,60.9167,-46.05,9.12,3.88
Rikitea,10,PF,1624473180,74,-23.1203,-134.9692,24.25,5.45
Glenwood Springs,90,US,1624473145,25,39.5505,-107.3248,28.56,2.57
Anchorage,1,US,1624473121,66,61.2181,-149.9003,17.46,0.45
Molochnoye,73,RU,1624473180,63,59.2917,39.6787,23.65,3.38
Sawtell,100,AU,1624473181,77,-30.3833,153.1,17.88,4.63
Puerto Ayora,20,EC,1624473181,69,-0.7393,-90.3518,27.0,6.17
Lavrentiya,100,RU,1624473182,74,65.5833,-171.0,9.22,0.8
Atherton,100,GB,1624473182,86,53.5237,-2.4935,15.75,1.79
Dikson,100,RU,1624473183,92,73.5069,80.5464,1.46,4.77
Kwinana,0,AU,1624473073,77,-32.25,115.7667,7.3,3.13
Hilo,90,US,1624472902,77,19.7297,-155.09,26.27,3.09
Cape Town,75,ZA,1624472896,80,-33.9258,18.4232,13.94,1.03
Cayenne,75,GF,1624473184,78,4.9333,-52.3333,29.02,1.34
Morant Bay,98,JM,1624473185,67,17.8815,-76.4093,30.79,4.6
Cherskiy,6,RU,1624473185,47,68.75,161.3,11.79,2.61
Matagami,20,CA,1624472958,42,49.7502,-77.6328,18.06,6.69
Buluang,100,PH,1624473186,86,13.3068,123.3425,25.88,0.91
Arlit,13,NE,1624473186,14,18.7369,7.3853,36.07,2.76
Perbaungan,40,ID,1624473187,94,3.5679,98.956,26.0,1.54
Lompoc,1,US,1624473187,64,34.6391,-120.4579,21.67,2.57
Hofn,75,IS,1624472879,47,64.2539,-15.2082,13.0,5.66
Tuktoyaktuk,90,CA,1624473188,87,69.4541,-133.0374,7.0,1.54
Poya,80,NC,1624473188,74,-21.35,165.15,17.52,2.08
Tabou,100,CI,1624473189,91,4.423,-7.3528,24.49,4.92
Saint Anthony,1,US,1624473189,58,45.0205,-93.218,29.46,1.79
Longyearbyen,75,SJ,1624473190,87,78.2186,15.6401,2.91,6.17
Raja,100,SS,1624473190,98,8.4596,25.678,20.69,2.58
Balyqshy,0,KZ,1624473191,18,47.0667,51.8667,28.0,4.0
San Felipe,100,VE,1624473191,80,10.3399,-68.7425,27.45,1.41
Mahébourg,40,MU,1624473191,64,-20.4081,57.7,21.16,5.14
Maningrida,57,AU,1624473192,96,-12.0667,134.2667,22.27,2.75
Pangnirtung,90,CA,1624473192,81,66.1451,-65.7125,4.0,6.17
Khatanga,99,RU,1624473193,43,71.9667,102.5,13.13,4.48
Chokurdakh,19,RU,1624473193,35,70.6333,147.9167,21.21,2.62
San Ignacio,75,BZ,1624473194,62,17.1561,-89.0714,34.08,2.06
Iqaluit,90,CA,1624473194,75,63.7506,-68.5145,4.85,2.24
Kloulklubed,40,PW,1624473194,94,7.0419,134.2556,24.0,1.95
Kapaa,75,US,1624473195,85,22.0752,-159.319,25.99,0.45
Lorengau,40,PG,1624473195,79,-2.0226,147.2712,26.89,1.76
Valparai,75,IN,1624473196,94,10.3667,76.9667,24.0,2.06
